#{"t_start": 1751286747.7281156, "env_id": "None"}
r,l,t,iso_reward,pcs_reward,net_exchange,battery_level,predicted_demand,realized_demand
-769536.548312,48,3.33004,-15461.94689139783,-0.0,0.0,40.0,150.0,152.18984854115877
-791756.33179,48,4.255018,-17742.444559911164,-0.0,0.0,40.0,150.0,126.58015986428957
